hz,mag_db,phase,v1,v2
94.79661110687096,-1.3646958791278727,-43.369896056592125,0.9976374895289843,0.852585548263806
101.7627947250124,-1.4496071885755624,-47.68984360391811,0.9974414511837338,0.8441255642434335
109.24089236238963,-1.566558562267601,-52.33273702592574,0.9970329685251768,0.8324949181440506
117.26852231582869,-1.7300900489151654,-57.32740474861989,0.9968391320102967,0.8168091157336164
125.8860672843846,-1.949235354206131,-62.666495589637044,0.9968445054482096,0.7964630851056601
135.13687751303377,-2.236087927447865,-68.32218368969357,0.9966370292435799,0.7704290013504814
145.0674888644964,-2.601740823996381,-74.24955028802933,0.9966202450840667,0.738656738119488
155.7278569161926,-3.0553595326350615,-80.39386057324003,0.9966500740457569,0.7010915402779174
167.1716082599493,-3.6038007214970182,-86.63189605139696,0.9963708372644315,0.6580076937505432
179.45631026861014,-4.253368556280066,-92.87413783355639,0.9963775237134203,0.6105981643585822
192.6437606865995,-5.001023088407232,-99.0230508169204,0.9964179963962959,0.5602610209581478
206.80029850121826,-5.839564496649414,-104.96272846924829,0.9964001161872071,0.5086927460854475
221.9971376584941,-6.761093153841627,-110.61814758219055,0.996716963860631,0.4576328506223368
238.3107253023332,-7.7481501622815605,-115.95688252712104,0.996429695809751,0.4083562000835554
255.82312633908467,-8.805076011124191,-120.93143761310124,0.9969581718103907,0.36176215906450665
274.62243626205185,-9.899360044109898,-125.53113928556768,0.9966634561799471,0.3188456765312764
294.8032243126503,-11.036056547360795,-129.74165372250124,0.9968021247416137,0.2797732112138475
316.46700920752164,-12.198764026726789,-133.61568342039197,0.9966739304226229,0.2446892542957034
339.7227698247265,-13.384004568011035,-137.15107204746522,0.9968307634328588,0.21351146673893293
364.68749341800566,-14.583261219852186,-140.37557562608328,0.9969247352090654,0.18599416109237987
391.48676411688615,-15.796574869185111,-143.31262229999524,0.9966140264772024,0.16169561844012317
420.2553946730537,-17.02217142855176,-145.9961881248351,0.996761776629819,0.14043740761829915
451.13810463097064,-18.248394129776592,-148.46184270663437,0.9961753332371398,0.12187540650807746
484.2902483342576,-19.483735654689166,-150.68594909813962,0.9964373481928535,0.10574582128408003
519.8785964300391,-20.718367967857105,-152.73018729352458,0.9967013550822301,0.09175857286988477
558.0821748025872,-21.962155313705,-154.60422424017543,0.9965584883155527,0.07950510710458722
599.0931651564885,-23.200563293334046,-156.33812738877415,0.9965252360244576,0.06893823126285231
643.117871779689,-24.44124239766625,-157.91499965857108,0.9962209042962604,0.05974389467974239
690.3777593496671,-25.683663385702502,-159.3524006026887,0.9944601703155009,0.05168972532291302
741.1105670034018,-26.92412617342354,-160.69015311563163,0.9952798652605704,0.04484756929822707
795.571504275413,-28.170172376183714,-161.87412944526747,0.9948513086506958,0.03883734712450974
854.034534919995,-29.42085875015367,-163.0182207576453,0.995014542853277,0.033634617318208423
916.7937550758662,-30.672763554045762,-164.045305298344,0.9945001904263419,0.02910493896763417
984.1648727060499,-31.910215295057967,-165.02991411595724,0.9941186868505151,0.025230593858471886
1056.48679575524,-33.159433475651056,-165.87920590102058,0.9935100917207842,0.02183738390272804
1134.1233370138268,-34.40441433015325,-166.68688009130003,0.9927708257207076,0.018907246648061423
1217.4650442648456,-35.645133039357965,-167.4221276535848,0.9920611780244051,0.016378789556881563
1306.931164920322,-36.88474380379335,-168.0988976851511,0.9910644215999054,0.014186154827148821
1402.9717550300504,-38.108318046465364,-168.69242809006766,0.9900965404126623,0.012310101694597115
