hz,z,phase,r,x,v1,v2,hum
631.7740971984853,8856.269884312496,-4.886044186875405,8824.086837667593,-754.3260204195582,0.4995349709189999,0.23734813329279975,0.0040549631315541495
750.90539536615,8839.35713905391,-5.78248966417437,8794.378481168918,-890.585067074667,0.4995806345798144,0.23721767848371692,0.0
892.5008405541613,8818.798788753516,-6.8218594054385,8756.364008488288,-1047.521564155797,0.4995091458361177,0.23701133345925202,0.0
1060.796413643391,8788.100353274587,-8.068406493463105,8701.108720006207,-1233.456469380608,0.499562331682695,0.2367684871051636,0.0
1260.8268587175546,8747.82641704206,-9.529156540463632,8627.119401293798,-1448.1981420092663,0.49965102297152153,0.23646801569443965,0.010459979890234658
1498.576302877642,8692.261969097446,-11.246235484832685,8525.353992193657,-1695.2160473536978,0.4996617688436212,0.2359968629181701,0.0023533952810042493
1781.1572778760928,8617.070616346715,-13.251374853749194,8387.630411807162,-1975.2372217112465,0.4996983181403115,0.23536681085742764,0.0
2117.0234991964935,8516.871366352074,-15.58268931995085,8203.82329325642,-2287.877016802087,0.4997172377302934,0.23450983305179554,0.008789878467524926
2516.2227680951305,8382.327433876782,-18.26462099152969,7960.018910534018,-2627.0729248850635,0.4997450335453532,0.23332948723913452,0.009073620270235545
2990.6975624424413,8205.158022158203,-21.326609710346617,7643.288685277011,-2984.0838195505758,0.4998219614405779,0.23174484091437633,0.004726339058679985
3554.6423088645215,7975.339288895221,-24.782826455048422,7240.83575986804,-3343.1024919394786,0.4998406494583159,0.2295563187579643,0.006813668396322633
4224.928024367187,7685.0516769401065,-28.622799009675997,6745.880154821038,-3681.456262680795,0.4998599842823266,0.22662759289274742,0.009035981876826823
5021.607031055999,7326.6695332228655,-32.791721410676146,6159.127123618356,-3968.027157689931,0.49984208909288924,0.2226920858930714,0.00911443366238585
5968.512843039029,6900.452695142887,-37.2166580363396,5495.203827912308,-4173.605430272806,0.49972192848957436,0.2174983513110925,0.012601504634226478
7093.97317177776,6411.6252691387035,-41.781822025305935,4781.068368582494,-4272.039775891358,0.4994720806582205,0.21076912799849717,0.013274801327269296
8431.657380212408,5872.125446378013,-46.34746411446242,4053.4299222840596,-4248.713113771325,0.4990179919634675,0.20222453832491513,0.015978523510089854
10021.583738168323,5305.654878245673,-50.801759129461104,3353.2031148511705,-4111.690960858381,0.4980822322835799,0.19176218947060789,0.01800895454217962
11911.316612178309,4731.740591401256,-55.00541018374272,2713.648899327013,-3876.2712334788434,0.4966487610276777,0.1793867134008487,0.020047701339259944
14157.389404949152,4171.540995255782,-58.846291875704686,2158.0873000281767,-3569.9318593716453,0.49433825889494437,0.16524193971772916,0.021890211226367178
16826.995813245543,3640.897375951725,-62.252471940269274,1695.115668897354,-3222.2223032048596,0.4909974877867232,0.1497439174061132,0.02363096804285476
20000.000000000004,3153.279489844985,-65.18134631777346,1323.581509551012,-2862.045340076169,0.4862240015967437,0.1334856867646036,0.025272957542226353
