hz,v_rms_per_rthz
381.00,8.9661e-07
382.00,1.0923e-06
383.00,1.2425e-06
384.00,1.2085e-06
385.00,1.3000e-06
386.00,1.3587e-06
387.00,1.1295e-06
388.00,1.0898e-06
389.00,1.2515e-06
390.00,1.0123e-06
391.00,9.9013e-07
392.00,1.3694e-06
393.00,1.0082e-06
394.00,1.2364e-06
395.00,1.2411e-06
396.00,1.0959e-06
397.00,8.6422e-07
398.00,1.1050e-06
399.00,9.9967e-07
400.00,1.1268e-06
401.00,1.0375e-06
402.00,1.2964e-06
403.00,1.1550e-06
404.00,1.1378e-06
405.00,1.1762e-06
406.00,8.6828e-07
407.00,8.9614e-07
408.00,9.6996e-07
409.00,1.0405e-06
410.00,1.0309e-06
411.00,1.0772e-06
412.00,1.0183e-06
413.00,1.1725e-06
414.00,1.0407e-06
415.00,1.2015e-06
416.00,9.3015e-07
417.00,1.3419e-06
418.00,1.3621e-06
419.00,1.3939e-06
420.00,1.0384e-06
421.00,1.1590e-06
422.00,9.3710e-07
423.00,9.8662e-07
424.00,1.2631e-06
425.00,1.2862e-06
426.00,1.0506e-06
427.00,8.0714e-07
428.00,1.0157e-06
429.00,1.0634e-06
430.00,1.1455e-06
431.00,6.9714e-07
432.00,8.4415e-07
433.00,1.2319e-06
434.00,1.0156e-06
435.00,1.3906e-06
436.00,1.0805e-06
437.00,1.0703e-06
438.00,1.3105e-06
439.00,1.2795e-06
440.00,1.1361e-06
441.00,1.2004e-06
442.00,1.0079e-06
443.00,1.1541e-06
444.00,9.2069e-07
445.00,1.1254e-06
446.00,1.1910e-06
447.00,1.1584e-06
448.00,1.0623e-06
449.00,1.0580e-06
450.00,7.9561e-07
451.00,1.1874e-06
452.00,9.1570e-07
453.00,8.4104e-07
454.00,1.1135e-06
455.00,1.3074e-06
456.00,1.2780e-06
457.00,1.2209e-06
458.00,1.2545e-06
459.00,1.3909e-06
460.00,1.3562e-06
461.00,1.0217e-06
462.00,1.0246e-06
463.00,1.0687e-06
464.00,1.1041e-06
465.00,1.1113e-06
466.00,9.0493e-07
467.00,9.9924e-07
468.00,1.0488e-06
469.00,1.0832e-06
470.00,1.0223e-06
471.00,8.3811e-07
472.00,1.1339e-06
473.00,1.2761e-06
474.00,1.1789e-06
475.00,1.0471e-06
476.00,9.8648e-07
477.00,1.0179e-06
478.00,1.1367e-06
479.00,9.3493e-07
480.00,8.9666e-07
481.00,9.2028e-07
482.00,9.6332e-07
483.00,1.0224e-06
484.00,1.1236e-06
485.00,8.9527e-07
486.00,1.1857e-06
487.00,9.9995e-07
488.00,1.2553e-06
489.00,1.1937e-06
490.00,1.1493e-06
491.00,8.5783e-07
492.00,1.1554e-06
493.00,1.1559e-06
494.00,1.0619e-06
495.00,1.3249e-06
496.00,9.7130e-07
497.00,1.0974e-06
498.00,1.2105e-06
499.00,1.2875e-06
500.00,1.0852e-06
501.00,9.2898e-07
502.00,1.0335e-06
503.00,1.1102e-06
504.00,1.0483e-06
505.00,1.0607e-06
506.00,1.1842e-06
507.00,1.1840e-06
508.00,7.7596e-07
509.00,8.6948e-07
510.00,1.1200e-06
511.00,9.5175e-07
512.00,1.1596e-06
513.00,9.4696e-07
514.00,1.0856e-06
515.00,1.1811e-06
516.00,1.0246e-06
517.00,1.0164e-06
518.00,1.2170e-06
519.00,1.1410e-06
520.00,8.7085e-07
521.00,1.0081e-06
522.00,1.0702e-06
523.00,9.8488e-07
524.00,6.6422e-07
525.00,8.3320e-07
526.00,1.1050e-06
527.00,9.6551e-07
528.00,9.8857e-07
529.00,1.1295e-06
530.00,8.7566e-07
531.00,1.0952e-06
532.00,1.0450e-06
533.00,1.1195e-06
534.00,1.0711e-06
535.00,1.0773e-06
536.00,1.1847e-06
537.00,1.3588e-06
538.00,1.1114e-06
539.00,9.8806e-07
540.00,9.8236e-07
541.00,1.0596e-06
542.00,1.2341e-06
543.00,1.0736e-06
544.00,8.7590e-07
545.00,8.2711e-07
546.00,1.1409e-06
547.00,1.0478e-06
548.00,9.7613e-07
549.00,1.2396e-06
550.00,8.9154e-07
551.00,9.5102e-07
552.00,1.0066e-06
553.00,1.0949e-06
554.00,1.1407e-06
555.00,1.3794e-06
556.00,1.1055e-06
557.00,1.2418e-06
558.00,9.1492e-07
559.00,1.1400e-06
560.00,1.3286e-06
561.00,1.1617e-06
562.00,9.0267e-07
563.00,9.7686e-07
564.00,1.0211e-06
565.00,1.0890e-06
566.00,1.2341e-06
567.00,1.0045e-06
568.00,1.0824e-06
569.00,1.0359e-06
570.00,8.2645e-07
571.00,9.6027e-07
572.00,1.0338e-06
573.00,1.0643e-06
574.00,1.0505e-06
575.00,1.0588e-06
576.00,1.1894e-06
577.00,9.5293e-07
578.00,9.7579e-07
579.00,9.9477e-07
580.00,1.0909e-06
581.00,8.7652e-07
582.00,8.8645e-07
583.00,9.6702e-07
584.00,1.1346e-06
585.00,1.2025e-06
586.00,1.1522e-06
587.00,1.1328e-06
588.00,1.0712e-06
589.00,1.0605e-06
590.00,9.5312e-07
591.00,9.6297e-07
592.00,9.0832e-07
593.00,8.4392e-07
594.00,8.9248e-07
595.00,1.0346e-06
596.00,1.1851e-06
597.00,1.0489e-06
598.00,1.1388e-06
599.00,1.1638e-06
600.00,1.0855e-06
601.00,1.0658e-06
602.00,1.0003e-06
603.00,8.1444e-07
604.00,1.0469e-06
605.00,1.3013e-06
606.00,1.1902e-06
607.00,1.0154e-06
608.00,1.0073e-06
609.00,9.6993e-07
610.00,1.0472e-06
611.00,8.7360e-07
612.00,8.5726e-07
613.00,9.2463e-07
614.00,9.6234e-07
615.00,1.0112e-06
616.00,9.1171e-07
617.00,1.0052e-06
618.00,1.0705e-06
619.00,1.1989e-06
620.00,1.1989e-06
621.00,1.1721e-06
622.00,9.7192e-07
623.00,7.5769e-07
624.00,9.0337e-07
625.00,9.1865e-07
626.00,1.0830e-06
627.00,9.6451e-07
628.00,8.9305e-07
629.00,8.8885e-07
630.00,9.8001e-07
631.00,1.1856e-06
632.00,1.0914e-06
633.00,9.8699e-07
634.00,8.4812e-07
635.00,9.9486e-07
636.00,1.1252e-06
637.00,9.9986e-07
638.00,1.1850e-06
639.00,8.6023e-07
640.00,9.7123e-07
641.00,8.8527e-07
642.00,1.0291e-06
643.00,9.9517e-07
644.00,1.0561e-06
645.00,1.0079e-06
646.00,1.0461e-06
647.00,7.4885e-07
648.00,9.2891e-07
649.00,1.1858e-06
650.00,8.4276e-07
651.00,9.8551e-07
652.00,1.0355e-06
653.00,1.1582e-06
654.00,1.0126e-06
655.00,9.6417e-07
656.00,8.9257e-07
657.00,1.1833e-06
658.00,1.1357e-06
659.00,9.7305e-07
660.00,8.1634e-07
661.00,1.1213e-06
662.00,1.0613e-06
663.00,1.0777e-06
664.00,1.1448e-06
665.00,1.0029e-06
666.00,1.0794e-06
667.00,1.1124e-06
668.00,7.5491e-07
669.00,1.0413e-06
670.00,1.0608e-06
671.00,1.1138e-06
672.00,8.7671e-07
673.00,1.0762e-06
674.00,1.0514e-06
675.00,1.0832e-06
676.00,9.5949e-07
677.00,9.2114e-07
678.00,1.0426e-06
679.00,8.7778e-07
680.00,1.0971e-06
681.00,1.0829e-06
682.00,1.0709e-06
683.00,1.0173e-06
684.00,8.6405e-07
685.00,9.0356e-07
686.00,1.0234e-06
687.00,9.4406e-07
688.00,9.0654e-07
689.00,1.0915e-06
690.00,1.2265e-06
691.00,1.3112e-06
692.00,8.2977e-07
693.00,9.0317e-07
694.00,9.5511e-07
695.00,9.5783e-07
696.00,1.0717e-06
697.00,6.7449e-07
698.00,7.4093e-07
699.00,1.0131e-06
700.00,1.1013e-06
701.00,1.2106e-06
702.00,1.1690e-06
703.00,9.4918e-07
704.00,9.0517e-07
