hz,v_rms_per_rthz
357.00,1.3445e-06
358.00,1.6330e-06
359.00,1.1350e-06
360.00,1.2688e-06
361.00,1.1732e-06
362.00,9.3380e-07
363.00,1.3402e-06
364.00,8.7923e-07
365.00,1.2983e-06
366.00,1.4337e-06
367.00,1.5873e-06
368.00,9.4697e-07
369.00,1.3812e-06
370.00,1.3290e-06
371.00,1.0588e-06
372.00,1.0019e-06
373.00,1.1287e-06
374.00,1.1554e-06
375.00,1.1969e-06
376.00,1.1834e-06
377.00,1.0915e-06
378.00,1.0897e-06
379.00,1.0925e-06
380.00,1.1063e-06
381.00,1.0120e-06
382.00,8.5837e-07
383.00,1.1435e-06
384.00,1.3923e-06
385.00,1.3235e-06
386.00,1.2053e-06
387.00,1.4546e-06
388.00,1.3111e-06
389.00,1.3400e-06
390.00,1.0063e-06
391.00,9.1245e-07
392.00,1.0322e-06
393.00,1.2055e-06
394.00,1.2195e-06
395.00,9.3659e-07
396.00,1.1676e-06
397.00,1.1870e-06
398.00,1.0557e-06
399.00,1.0921e-06
400.00,1.2618e-06
401.00,1.0287e-06
402.00,1.1746e-06
403.00,1.1603e-06
404.00,1.3438e-06
405.00,1.1396e-06
406.00,1.3358e-06
407.00,1.2264e-06
408.00,1.1156e-06
409.00,1.1879e-06
410.00,1.1670e-06
411.00,1.0618e-06
412.00,9.3341e-07
413.00,1.2908e-06
414.00,1.2681e-06
415.00,1.3716e-06
416.00,1.4218e-06
417.00,1.0662e-06
418.00,1.1071e-06
419.00,6.8588e-07
420.00,8.6576e-07
421.00,1.0889e-06
422.00,1.0944e-06
423.00,1.3030e-06
424.00,1.2927e-06
425.00,1.2018e-06
426.00,9.6710e-07
427.00,1.1477e-06
428.00,1.2348e-06
429.00,1.1209e-06
430.00,9.7579e-07
431.00,1.0655e-06
432.00,9.7039e-07
433.00,1.1375e-06
434.00,1.2238e-06
435.00,1.0954e-06
436.00,1.1342e-06
437.00,1.1751e-06
438.00,1.3645e-06
439.00,9.7336e-07
440.00,1.2863e-06
441.00,1.0508e-06
442.00,1.0425e-06
443.00,1.1577e-06
444.00,1.3061e-06
445.00,1.1090e-06
446.00,1.1419e-06
447.00,1.3871e-06
448.00,9.8529e-07
449.00,1.2718e-06
450.00,1.1584e-06
451.00,9.9882e-07
452.00,1.2366e-06
453.00,1.1219e-06
454.00,1.0238e-06
455.00,9.4515e-07
456.00,1.0161e-06
457.00,1.0903e-06
458.00,1.1251e-06
459.00,9.6662e-07
460.00,1.0603e-06
461.00,1.0422e-06
462.00,1.1821e-06
463.00,1.0326e-06
464.00,1.2970e-06
465.00,1.2560e-06
466.00,1.2997e-06
467.00,1.2422e-06
468.00,1.0192e-06
469.00,8.5799e-07
470.00,1.1030e-06
471.00,1.2699e-06
472.00,1.0795e-06
473.00,1.0662e-06
474.00,9.1278e-07
475.00,8.4363e-07
476.00,9.8962e-07
477.00,1.1187e-06
478.00,9.6769e-07
479.00,1.0890e-06
480.00,8.6320e-07
481.00,1.2113e-06
482.00,1.3209e-06
483.00,1.2368e-06
484.00,1.1095e-06
485.00,1.0719e-06
486.00,1.1083e-06
487.00,1.1776e-06
488.00,1.1949e-06
489.00,1.3462e-06
490.00,1.1247e-06
491.00,1.0292e-06
492.00,1.0619e-06
493.00,1.0726e-06
494.00,1.0550e-06
495.00,1.2427e-06
496.00,1.1056e-06
497.00,9.4116e-07
498.00,1.0447e-06
499.00,1.0369e-06
500.00,1.0216e-06
501.00,1.1137e-06
502.00,1.1461e-06
503.00,1.0536e-06
504.00,9.7762e-07
505.00,1.1615e-06
506.00,1.0982e-06
507.00,8.5811e-07
508.00,1.1696e-06
509.00,1.2577e-06
510.00,1.0817e-06
511.00,1.0292e-06
512.00,9.3117e-07
513.00,1.0581e-06
514.00,1.0312e-06
