 2.80915714e+01 -1.12173873e+02  2.80915714e+01 -1.12243964e+02  2.80915714e+01 -1.62781347e+00  2.80915714e+01 -1.62807578e+00 
 2.82537966e+01 -1.12073043e+02  2.82537966e+01 -1.12143133e+02  2.82537966e+01 -1.62788067e+00  2.82537966e+01 -1.62814602e+00 
 2.84169586e+01 -1.11972203e+02  2.84169586e+01 -1.12042294e+02  2.84169586e+01 -1.62794866e+00  2.84169586e+01 -1.62821707e+00 
 2.85810628e+01 -1.11871354e+02  2.85810628e+01 -1.11941445e+02  2.85810628e+01 -1.62801744e+00  2.85810628e+01 -1.62828895e+00 
 2.87461147e+01 -1.11770495e+02  2.87461147e+01 -1.11840586e+02  2.87461147e+01 -1.62808701e+00  2.87461147e+01 -1.62836167e+00 
 2.89121198e+01 -1.11669627e+02  2.89121198e+01 -1.11739719e+02  2.89121198e+01 -1.62815739e+00  2.89121198e+01 -1.62843522e+00 
 2.90790835e+01 -1.11568750e+02  2.90790835e+01 -1.11638841e+02  2.90790835e+01 -1.62822858e+00  2.90790835e+01 -1.62850963e+00 
 2.92470115e+01 -1.11467863e+02  2.92470115e+01 -1.11537955e+02  2.92470115e+01 -1.62830061e+00  2.92470115e+01 -1.62858490e+00 
 2.94159092e+01 -1.11366966e+02  2.94159092e+01 -1.11437058e+02  2.94159092e+01 -1.62837346e+00  2.94159092e+01 -1.62866105e+00 
 2.95857822e+01 -1.11266060e+02  2.95857822e+01 -1.11336151e+02  2.95857822e+01 -1.62844716e+00  2.95857822e+01 -1.62873807e+00 
 2.97566363e+01 -1.11165143e+02  2.97566363e+01 -1.11235235e+02  2.97566363e+01 -1.62852172e+00  2.97566363e+01 -1.62881599e+00 
 2.99284770e+01 -1.11064217e+02  2.99284770e+01 -1.11134309e+02  2.99284770e+01 -1.62859714e+00  2.99284770e+01 -1.62889482e+00 
 3.01013100e+01 -1.10963280e+02  3.01013100e+01 -1.11033372e+02  3.01013100e+01 -1.62867344e+00  3.01013100e+01 -1.62897456e+00 
 3.02751412e+01 -1.10862333e+02  3.02751412e+01 -1.10932425e+02  3.02751412e+01 -1.62875062e+00  3.02751412e+01 -1.62905522e+00 
 3.04499762e+01 -1.10761375e+02  3.04499762e+01 -1.10831467e+02  3.04499762e+01 -1.62882870e+00  3.04499762e+01 -1.62913682e+00 
 3.06258209e+01 -1.10660407e+02  3.06258209e+01 -1.10730500e+02  3.06258209e+01 -1.62890768e+00  3.06258209e+01 -1.62921936e+00 
 3.08026810e+01 -1.10559428e+02  3.08026810e+01 -1.10629521e+02  3.08026810e+01 -1.62898758e+00  3.08026810e+01 -1.62930287e+00 
 3.09805625e+01 -1.10458439e+02  3.09805625e+01 -1.10528532e+02  3.09805625e+01 -1.62906841e+00  3.09805625e+01 -1.62938734e+00 
